Sample Number,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex
14,Chinstrap penguin (Pygoscelis antarctica),52,18.1,201,4050,MALE
15,Chinstrap penguin (Pygoscelis antarctica),45.9,17.1,190,3575,FEMALE
16,Chinstrap penguin (Pygoscelis antarctica),50.5,19.6,201,4050,MALE
17,Chinstrap penguin (Pygoscelis antarctica),50.3,20,197,3300,MALE
18,Chinstrap penguin (Pygoscelis antarctica),58,17.8,181,3700,FEMALE
19,Chinstrap penguin (Pygoscelis antarctica),46.4,18.6,190,3450,FEMALE
20,Chinstrap penguin (Pygoscelis antarctica),49.2,18.2,195,4400,MALE
21,Chinstrap penguin (Pygoscelis antarctica),42.4,17.3,181,3600,FEMALE
22,Chinstrap penguin (Pygoscelis antarctica),48.5,17.5,191,3400,MALE
23,Chinstrap penguin (Pygoscelis antarctica),43.2,16.6,187,2900,FEMALE
24,Chinstrap penguin (Pygoscelis antarctica),50.6,19.4,193,3800,MALE
25,Chinstrap penguin (Pygoscelis antarctica),46.7,17.9,195,3300,FEMALE
26,Chinstrap penguin (Pygoscelis antarctica),52,19,197,4150,MALE
27,Chinstrap penguin (Pygoscelis antarctica),50.5,18.4,200,3400,FEMALE
28,Chinstrap penguin (Pygoscelis antarctica),49.5,19,200,3800,MALE
29,Chinstrap penguin (Pygoscelis antarctica),46.4,17.8,191,3700,FEMALE
30,Chinstrap penguin (Pygoscelis antarctica),52.8,20,205,4550,MALE
31,Chinstrap penguin (Pygoscelis antarctica),40.9,16.6,187,3200,FEMALE
32,Chinstrap penguin (Pygoscelis antarctica),54.2,20.8,201,4300,MALE
33,Chinstrap penguin (Pygoscelis antarctica),42.5,16.7,187,3350,FEMALE
34,Chinstrap penguin (Pygoscelis antarctica),51,18.8,203,4100,MALE
35,Chinstrap penguin (Pygoscelis antarctica),49.7,18.6,195,3600,MALE
36,Chinstrap penguin (Pygoscelis antarctica),47.5,16.8,199,3900,FEMALE
37,Chinstrap penguin (Pygoscelis antarctica),47.6,18.3,195,3850,FEMALE
38,Chinstrap penguin (Pygoscelis antarctica),52,20.7,210,4800,MALE
39,Chinstrap penguin (Pygoscelis antarctica),46.9,16.6,192,2700,FEMALE
40,Chinstrap penguin (Pygoscelis antarctica),53.5,19.9,205,4500,MALE
41,Chinstrap penguin (Pygoscelis antarctica),49,19.5,210,3950,MALE
42,Chinstrap penguin (Pygoscelis antarctica),46.2,17.5,187,3650,FEMALE
43,Chinstrap penguin (Pygoscelis antarctica),50.9,19.1,196,3550,MALE
44,Chinstrap penguin (Pygoscelis antarctica),45.5,17,196,3500,FEMALE
45,Chinstrap penguin (Pygoscelis antarctica),50.9,17.9,196,3675,FEMALE
46,Chinstrap penguin (Pygoscelis antarctica),50.8,18.5,201,4450,MALE
47,Chinstrap penguin (Pygoscelis antarctica),50.1,17.9,190,3400,FEMALE
48,Chinstrap penguin (Pygoscelis antarctica),49,19.6,212,4300,MALE
49,Chinstrap penguin (Pygoscelis antarctica),51.5,18.7,187,3250,MALE
50,Chinstrap penguin (Pygoscelis antarctica),49.8,17.3,198,3675,FEMALE
51,Chinstrap penguin (Pygoscelis antarctica),48.1,16.4,199,3325,FEMALE
52,Chinstrap penguin (Pygoscelis antarctica),51.4,19,201,3950,MALE
53,Chinstrap penguin (Pygoscelis antarctica),45.7,17.3,193,3600,FEMALE
54,Chinstrap penguin (Pygoscelis antarctica),50.7,19.7,203,4050,MALE
55,Chinstrap penguin (Pygoscelis antarctica),42.5,17.3,187,3350,FEMALE
56,Chinstrap penguin (Pygoscelis antarctica),52.2,18.8,197,3450,MALE
57,Chinstrap penguin (Pygoscelis antarctica),45.2,16.6,191,3250,FEMALE
58,Chinstrap penguin (Pygoscelis antarctica),49.3,19.9,203,4050,MALE
59,Chinstrap penguin (Pygoscelis antarctica),50.2,18.8,202,3800,MALE
60,Chinstrap penguin (Pygoscelis antarctica),45.6,19.4,194,3525,FEMALE
61,Chinstrap penguin (Pygoscelis antarctica),51.9,19.5,206,3950,MALE
62,Chinstrap penguin (Pygoscelis antarctica),46.8,16.5,189,3650,FEMALE
63,Chinstrap penguin (Pygoscelis antarctica),45.7,17,195,3650,FEMALE
64,Chinstrap penguin (Pygoscelis antarctica),55.8,19.8,207,4000,MALE
65,Chinstrap penguin (Pygoscelis antarctica),43.5,18.1,202,3400,FEMALE
66,Chinstrap penguin (Pygoscelis antarctica),49.6,18.2,193,3775,MALE
67,Chinstrap penguin (Pygoscelis antarctica),50.8,19,210,4100,MALE
68,Chinstrap penguin (Pygoscelis antarctica),50.2,18.7,198,3775,FEMALE
1,Gentoo penguin (Pygoscelis papua),46.1,13.2,211,4500,FEMALE
2,Gentoo penguin (Pygoscelis papua),50,16.3,230,5700,MALE
3,Gentoo penguin (Pygoscelis papua),48.7,14.1,210,4450,FEMALE
4,Gentoo penguin (Pygoscelis papua),50,15.2,218,5700,MALE
5,Gentoo penguin (Pygoscelis papua),47.6,14.5,215,5400,MALE
6,Gentoo penguin (Pygoscelis papua),46.5,13.5,210,4550,FEMALE
7,Gentoo penguin (Pygoscelis papua),45.4,14.6,211,4800,FEMALE
8,Gentoo penguin (Pygoscelis papua),46.7,15.3,219,5200,MALE
9,Gentoo penguin (Pygoscelis papua),43.3,13.4,209,4400,FEMALE
10,Gentoo penguin (Pygoscelis papua),46.8,15.4,215,5150,MALE
11,Gentoo penguin (Pygoscelis papua),40.9,13.7,214,4650,FEMALE
12,Gentoo penguin (Pygoscelis papua),49,16.1,216,5550,MALE
13,Gentoo penguin (Pygoscelis papua),45.5,13.7,214,4650,FEMALE
14,Gentoo penguin (Pygoscelis papua),48.4,14.6,213,5850,MALE
15,Gentoo penguin (Pygoscelis papua),45.8,14.6,210,4200,FEMALE
16,Gentoo penguin (Pygoscelis papua),49.3,15.7,217,5850,MALE
17,Gentoo penguin (Pygoscelis papua),42,13.5,210,4150,FEMALE
18,Gentoo penguin (Pygoscelis papua),49.2,15.2,221,6300,MALE
19,Gentoo penguin (Pygoscelis papua),46.2,14.5,209,4800,FEMALE
20,Gentoo penguin (Pygoscelis papua),48.7,15.1,222,5350,MALE
21,Gentoo penguin (Pygoscelis papua),50.2,14.3,218,5700,MALE
22,Gentoo penguin (Pygoscelis papua),45.1,14.5,215,5000,FEMALE
23,Gentoo penguin (Pygoscelis papua),46.5,14.5,213,4400,FEMALE
24,Gentoo penguin (Pygoscelis papua),46.3,15.8,215,5050,MALE
25,Gentoo penguin (Pygoscelis papua),42.9,13.1,215,5000,FEMALE
26,Gentoo penguin (Pygoscelis papua),46.1,15.1,215,5100,MALE
27,Gentoo penguin (Pygoscelis papua),44.5,14.3,216,4100,
28,Gentoo penguin (Pygoscelis papua),47.8,15,215,5650,MALE
29,Gentoo penguin (Pygoscelis papua),48.2,14.3,210,4600,FEMALE
30,Gentoo penguin (Pygoscelis papua),50,15.3,220,5550,MALE
31,Gentoo penguin (Pygoscelis papua),47.3,15.3,222,5250,MALE
32,Gentoo penguin (Pygoscelis papua),42.8,14.2,209,4700,FEMALE
33,Gentoo penguin (Pygoscelis papua),45.1,14.5,207,5050,FEMALE
34,Gentoo penguin (Pygoscelis papua),59.6,17,230,6050,MALE
35,Gentoo penguin (Pygoscelis papua),49.1,14.8,220,5150,FEMALE
36,Gentoo penguin (Pygoscelis papua),48.4,16.3,220,5400,MALE
37,Gentoo penguin (Pygoscelis papua),42.6,13.7,213,4950,FEMALE
38,Gentoo penguin (Pygoscelis papua),44.4,17.3,219,5250,MALE
39,Gentoo penguin (Pygoscelis papua),44,13.6,208,4350,FEMALE
40,Gentoo penguin (Pygoscelis papua),48.7,15.7,208,5350,MALE
41,Gentoo penguin (Pygoscelis papua),42.7,13.7,208,3950,FEMALE
42,Gentoo penguin (Pygoscelis papua),49.6,16,225,5700,MALE
43,Gentoo penguin (Pygoscelis papua),45.3,13.7,210,4300,FEMALE
44,Gentoo penguin (Pygoscelis papua),49.6,15,216,4750,MALE
45,Gentoo penguin (Pygoscelis papua),50.5,15.9,222,5550,MALE
46,Gentoo penguin (Pygoscelis papua),43.6,13.9,217,4900,FEMALE
47,Gentoo penguin (Pygoscelis papua),45.5,13.9,210,4200,FEMALE
48,Gentoo penguin (Pygoscelis papua),50.5,15.9,225,5400,MALE
49,Gentoo penguin (Pygoscelis papua),44.9,13.3,213,5100,FEMALE
50,Gentoo penguin (Pygoscelis papua),45.2,15.8,215,5300,MALE
51,Gentoo penguin (Pygoscelis papua),46.6,14.2,210,4850,FEMALE
52,Gentoo penguin (Pygoscelis papua),48.5,14.1,220,5300,MALE
53,Gentoo penguin (Pygoscelis papua),45.1,14.4,210,4400,FEMALE
54,Gentoo penguin (Pygoscelis papua),50.1,15,225,5000,MALE
55,Gentoo penguin (Pygoscelis papua),46.5,14.4,217,4900,FEMALE
56,Gentoo penguin (Pygoscelis papua),45,15.4,220,5050,MALE
57,Gentoo penguin (Pygoscelis papua),43.8,13.9,208,4300,FEMALE
58,Gentoo penguin (Pygoscelis papua),45.5,15,220,5000,MALE
59,Gentoo penguin (Pygoscelis papua),43.2,14.5,208,4450,FEMALE
60,Gentoo penguin (Pygoscelis papua),50.4,15.3,224,5550,MALE
61,Gentoo penguin (Pygoscelis papua),45.3,13.8,208,4200,FEMALE
62,Gentoo penguin (Pygoscelis papua),46.2,14.9,221,5300,MALE
63,Gentoo penguin (Pygoscelis papua),45.7,13.9,214,4400,FEMALE
64,Gentoo penguin (Pygoscelis papua),54.3,15.7,231,5650,MALE
65,Gentoo penguin (Pygoscelis papua),45.8,14.2,219,4700,FEMALE
66,Gentoo penguin (Pygoscelis papua),49.8,16.8,230,5700,MALE
67,Gentoo penguin (Pygoscelis papua),46.2,14.4,214,4650,
68,Gentoo penguin (Pygoscelis papua),49.5,16.2,229,5800,MALE
69,Gentoo penguin (Pygoscelis papua),43.5,14.2,220,4700,FEMALE
70,Gentoo penguin (Pygoscelis papua),50.7,15,223,5550,MALE
71,Gentoo penguin (Pygoscelis papua),47.7,15,216,4750,FEMALE
72,Gentoo penguin (Pygoscelis papua),46.4,15.6,221,5000,MALE
73,Gentoo penguin (Pygoscelis papua),48.2,15.6,221,5100,MALE
74,Gentoo penguin (Pygoscelis papua),46.5,14.8,217,5200,FEMALE
75,Gentoo penguin (Pygoscelis papua),46.4,15,216,4700,FEMALE
76,Gentoo penguin (Pygoscelis papua),48.6,16,230,5800,MALE
77,Gentoo penguin (Pygoscelis papua),47.5,14.2,209,4600,FEMALE
78,Gentoo penguin (Pygoscelis papua),51.1,16.3,220,6000,MALE
79,Gentoo penguin (Pygoscelis papua),45.2,13.8,215,4750,FEMALE
80,Gentoo penguin (Pygoscelis papua),45.2,16.4,223,5950,MALE
81,Gentoo penguin (Pygoscelis papua),49.1,14.5,212,4625,FEMALE
82,Gentoo penguin (Pygoscelis papua),52.5,15.6,221,5450,MALE
83,Gentoo penguin (Pygoscelis papua),47.4,14.6,212,4725,FEMALE
84,Gentoo penguin (Pygoscelis papua),50,15.9,224,5350,MALE
85,Gentoo penguin (Pygoscelis papua),44.9,13.8,212,4750,FEMALE
86,Gentoo penguin (Pygoscelis papua),50.8,17.3,228,5600,MALE
87,Gentoo penguin (Pygoscelis papua),43.4,14.4,218,4600,FEMALE
88,Gentoo penguin (Pygoscelis papua),51.3,14.2,218,5300,MALE
89,Gentoo penguin (Pygoscelis papua),47.5,14,212,4875,FEMALE
90,Gentoo penguin (Pygoscelis papua),52.1,17,230,5550,MALE
91,Gentoo penguin (Pygoscelis papua),47.5,15,218,4950,FEMALE
92,Gentoo penguin (Pygoscelis papua),52.2,17.1,228,5400,MALE
93,Gentoo penguin (Pygoscelis papua),45.5,14.5,212,4750,FEMALE
94,Gentoo penguin (Pygoscelis papua),49.5,16.1,224,5650,MALE
95,Gentoo penguin (Pygoscelis papua),44.5,14.7,214,4850,FEMALE
96,Gentoo penguin (Pygoscelis papua),50.8,15.7,226,5200,MALE
97,Gentoo penguin (Pygoscelis papua),49.4,15.8,216,4925,MALE
98,Gentoo penguin (Pygoscelis papua),46.9,14.6,222,4875,FEMALE
99,Gentoo penguin (Pygoscelis papua),48.4,14.4,203,4625,FEMALE
100,Gentoo penguin (Pygoscelis papua),51.1,16.5,225,5250,MALE
101,Gentoo penguin (Pygoscelis papua),48.5,15,219,4850,FEMALE
102,Gentoo penguin (Pygoscelis papua),55.9,17,228,5600,MALE
103,Gentoo penguin (Pygoscelis papua),47.2,15.5,215,4975,FEMALE
104,Gentoo penguin (Pygoscelis papua),49.1,15,228,5500,MALE
105,Gentoo penguin (Pygoscelis papua),47.3,13.8,216,4725,
106,Gentoo penguin (Pygoscelis papua),46.8,16.1,215,5500,MALE
107,Gentoo penguin (Pygoscelis papua),41.7,14.7,210,4700,FEMALE
108,Gentoo penguin (Pygoscelis papua),53.4,15.8,219,5500,MALE
109,Gentoo penguin (Pygoscelis papua),43.3,14,208,4575,FEMALE
110,Gentoo penguin (Pygoscelis papua),48.1,15.1,209,5500,MALE
111,Gentoo penguin (Pygoscelis papua),50.5,15.2,216,5000,FEMALE
112,Gentoo penguin (Pygoscelis papua),49.8,15.9,229,5950,MALE
113,Gentoo penguin (Pygoscelis papua),43.5,15.2,213,4650,FEMALE
114,Gentoo penguin (Pygoscelis papua),51.5,16.3,230,5500,MALE
115,Gentoo penguin (Pygoscelis papua),46.2,14.1,217,4375,FEMALE
116,Gentoo penguin (Pygoscelis papua),55.1,16,230,5850,MALE
117,Gentoo penguin (Pygoscelis papua),44.5,15.7,217,4875,.
118,Gentoo penguin (Pygoscelis papua),48.8,16.2,222,6000,MALE
119,Gentoo penguin (Pygoscelis papua),47.2,13.7,214,4925,FEMALE
120,Gentoo penguin (Pygoscelis papua),,,,,
121,Gentoo penguin (Pygoscelis papua),46.8,14.3,215,4850,FEMALE
122,Gentoo penguin (Pygoscelis papua),50.4,15.7,222,5750,MALE
123,Gentoo penguin (Pygoscelis papua),45.2,14.8,212,5200,FEMALE
124,Gentoo penguin (Pygoscelis papua),49.9,16.1,213,5400,MALE
